fips_code,population
13221,14673
13223,
13223,148987
13225,26922
13225,
13227,
13227,29997
13229,18991
13229,
13231,17784
13231,
13233,
13233,41133
13235,
13235,11483
13237,
13237,21192
13239,2315
13239,
13241,
13241,16243
13243,7313
13243,
13245,
13245,201368
13247,87754
13247,
13249,
13249,5163
13251,
13251,14085
13253,
13253,8686
13255,63988
13255,
13257,25480
13257,
13259,5744
13259,
13261,
13261,31232
13263,6390
13263,
13265,
13265,1693
13267,25224
13267,
13269,8442
13269,
13271,16518
13271,
13273,
13273,9132
13275,
13275,44959
13277,
13277,40704
13279,27282
13279,
13281,
13281,11098
13283,
13283,6778
13285,69469
13285,
13287,8153
13287,
13289,8320
13289,
13291,
13291,21984
13293,26256
13293,
13295,68218
13295,
13297,87615
13297,
13299,
13299,35515
13301,
13301,5520
13303,
13303,20635
13305,
13305,29949
13307,2649
13307,
13309,
13309,7995
13311,
13311,27970
13313,103542
13313,
13315,8847
13315,
13317,9940
13317,
13319,9326
13319,
13321,20940
13321,
15000,
15001,194190
15001,
15003,
15003,991788
15005,89
15005,
15007,
15007,70475
15009,163019
15009,
16000,
16001,426236
16001,
16003,
16003,3861
16005,
16005,83347
16007,5957
16007,
16009,9118
16009,
16011,
16011,45269
16013,21482
16013,
16015,6824
16015,
16017,41585
16017,
16019,
16019,108623
16021,10979
16021,
16023,
16023,2622
16025,1039
16025,
16027,203143
16027,
16029,6837
16029,
16031,23540
16031,
16033,867
16033,
16035,
16035,8562
16037,4140
16037,
16039,
16039,26094
16041,
16041,13021
16043,12867
16043,
16045,16866
16045,
16047,15064
16047,
16049,
16049,16215
16051,
16051,27021
16053,22818
16053,
16055,
16055,147326
16057,38411
16057,
16059,
16059,7726
16061,
16061,3838
16063,
16063,5316
16065,
16065,38038
16067,
16067,20323
16069,
16069,40007
16071,
16071,4184
16073,11353
16073,
16075,22836
16075,
16077,
16077,7617
16079,
16079,12390
16081,
16081,10341
16083,
16083,80914
16085,9826
16085,
16087,10021
16087,
17000,
17001,
17001,66988
17003,
17003,7492
17005,17269
17005,
17007,
17007,53869
17009,
17009,6832
17011,
17011,33840
17013,
17013,4956
17015,
